DATE,CUSR0000SETA01_PC1
2020-06-01,-0.20876
2020-07-01,0.52198
2020-08-01,0.65292
2020-09-01,1.03305
2020-10-01,1.53041
2020-11-01,1.60298
2020-12-01,1.96337
2021-01-01,1.44216
2021-02-01,1.15766
2021-03-01,1.49341
2021-04-01,1.96245
2021-05-01,3.34227
2021-06-01,5.26078
2021-07-01,6.35997
2021-08-01,7.62475
2021-09-01,8.74277
2021-10-01,9.84778
2021-11-01,11.10849
2021-12-01,11.77900
2022-01-01,12.18762
2022-02-01,12.38201
2022-03-01,12.54648
2022-04-01,13.21383
2022-05-01,12.62456
2022-06-01,11.43045
2022-07-01,10.44215
2022-08-01,10.05071
2022-09-01,9.40339
2022-10-01,8.38538
2022-11-01,7.19677
2022-12-01,5.88666
2023-01-01,5.78466
2023-02-01,5.82601
2023-03-01,6.12073
2023-04-01,5.41726
2023-05-01,4.65638
2023-06-01,4.07484
2023-07-01,3.50047
